Município;08/20;09/20;10/20;11/20;12/20;01/21;02/21;03/21;04/21;05/21;06/21;07/21;08/21;09/21;10/21;11/21;12/21;01/22
280010 Amparo do São Francisco;4;8;1;2;3;0;4;4;4;3;2;4;5;5;1;3;1;3
280020 Aquidabã;21;15;10;24;10;19;21;23;23;25;27;14;17;21;21;21;20;16
280030 Aracaju;702;692;650;584;561;644;550;688;653;743;643;707;704;646;643;657;639;665
280040 Arauá;8;14;13;12;11;12;7;17;9;12;11;18;12;9;6;8;12;9
280050 Areia Branca;19;30;19;15;21;21;18;19;30;21;16;24;13;25;21;20;19;18
280060 Barra dos Coqueiros;31;51;44;44;41;40;43;54;41;63;43;42;39;54;56;47;48;44
280067 Boquim;26;27;29;17;24;22;34;20;25;35;20;19;23;35;35;25;23;21
280070 Brejo Grande;18;12;11;8;11;9;11;17;7;17;21;9;15;11;13;10;13;14
280100 Campo do Brito;21;18;17;17;22;20;16;19;19;17;20;15;16;18;20;15;19;26
280110 Canhoba;1;3;11;6;8;5;7;7;2;8;5;6;4;3;3;5;9;3
280120 Canindé de São Francisco;33;52;35;37;47;42;42;48;40;54;42;47;45;35;41;38;35;28
280130 Capela;45;36;48;47;43;53;42;52;54;54;53;49;51;42;35;37;48;51
280140 Carira;20;16;19;14;18;16;19;22;28;29;31;20;27;32;29;15;20;26
280150 Carmópolis;26;10;20;17;17;18;22;27;19;16;16;18;16;14;11;20;12;15
280160 Cedro de São João;8;5;9;3;3;6;7;6;8;8;6;4;2;1;3;6;3;4
280170 Cristinápolis;26;22;19;24;32;20;22;29;20;22;17;25;25;18;21;16;23;20
280190 Cumbe;3;2;6;3;2;2;2;0;5;3;2;2;4;0;7;3;4;7
280200 Divina Pastora;5;7;5;5;3;7;6;9;10;8;3;9;7;3;6;7;7;1
280210 Estância;95;90;66;62;84;84;70;102;91;111;98;83;72;88;88;86;82;91
280220 Feira Nova;7;10;11;3;8;8;9;9;12;8;6;6;19;6;7;7;4;5
280230 Frei Paulo;17;16;19;17;20;20;16;27;24;27;21;27;22;12;15;9;15;15
280240 Gararu;10;12;12;5;16;8;8;14;19;13;11;6;13;5;13;10;10;14
280250 General Maynard;3;0;2;1;3;6;4;5;3;2;7;5;1;2;0;4;6;1
280260 Gracho Cardoso;4;5;7;5;6;5;5;7;8;9;3;6;3;9;10;8;8;2
280270 Ilha das Flores;8;12;14;10;10;10;10;14;14;20;16;20;13;6;9;7;10;14
